BLOQUES,AREAS,ZONA,GRUPO SUMINISTRO,TOMA DE LUZ,PRODUCTO,DESCRIPCIÓN,DESPIECE,MONTAJE,TIPO MONTAJE,COSTE,FABRICANTE,PROVEEDOR,MARCA,REF./MODELO,UNDS.,PRECIO UND.,DTO.,PRECIO UND. CON DTO.,PRECIO TOTAL,POTENCIA UND.W.,POTENCIA TOTAL W.,ACCESORIO 1,REF./MODELO,UNDS.ACCES. 1,PRECIO ACCES. 1,POTENCIA ACCES.1,ACCESORIO 2,REF./MODELO,UNDS.ACCES. 2,PRECIO ACCES. 2,POTENCIA ACCES.2,ACCESORIO 3,REF./MODELO,UNDS.ACCES. 3,PRECIO ACCES. 3,POTENCIA ACCES.3,ACCESORIO 4,REF./MODELO,UNDS.ACCES. 4,PRECIO ACCES. 4,POTENCIA ACCES.4,PRECIO TOTAL ACCES.,REPUESTOS,REF./MODELO,UNDS.REPTOS.,PRECIO REPTOS.,PRECIO TOTAL REPTOS.,POTENCIA REPUESTOS,TOTAL PRECIO,TOTAL POTENCIA,FLUÍDOS
A,DE CONSULTAS EXTERNAS,CONSULTAS POLV.MEDICINA Y CIRUGÍA,Grabadora de estado sólido,Grabadora de estado sólido 300-3,DMS,1210052,1,"1.236,67€","2,00%","1.211,94€","1.211,94€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE CONSULTAS EXTERNAS,CONSULTAS POLV.MEDICINA Y CIRUGÍA,Holter E.C.G.,Holter Cardiscan 10,DMS,1210048,1,"6.480,00€","0,00%","6.480,00€","6.480,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE CONSULTAS EXTERNAS,CONSULTAS POLV.MEDICINA Y CIRUGÍA,Set de enfermería,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE CONSULTAS EXTERNAS,CONSULTAS POLV.MEDICINA Y CIRUGÍA,Ecógrafo,Ecógrafo digital Mindray DP50 con 2 transductores y carro,MINDRAY,20000104,1,"9.066,67€","0,00%","9.066,67€","9.066,67€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE CONSULTAS EXTERNAS,CONSULTAS POLV.MEDICINA Y CIRUGÍA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""CONSULTA POLIVALENTE"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE CONSULTAS EXTERNAS,CONSULTAS POLV.MEDICINA Y CIRUGÍA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""CONSULTA POLIVALENTE"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE CONSULTAS EXTERNAS,CONSULTA DE CARDIOLOGÍA Y APARATO RESPIRATORIO,Lama con frente curvo,"Cartel interno, 300x100 mm., ""CARDIOLOGÍA E PNEUMOLOGÍA"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE CONSULTAS EXTERNAS,CONSULTA DE NEUROLOGÍA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""NEUROLOGÍA"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE CONSULTAS EXTERNAS,CONSULTA DE CUIDADOS Y TRATAMIENTOS SIDA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""CATV"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE CONSULTAS EXTERNAS,ESPERA DE CONSULTAS MEDICINA Y CIRUGÍA,"Bancada metálica, 3 plazas","Banco estructura de acero con acabado de aluminio, 3 plazas",OFIPRIX,2942003,3,"325,00€","30,00%","227,50€","682,50€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Plafón exterior,"Plafón exterior, ""IMAGIOLOGÍA"", armado de tubo rectangular, para fijar a pared, rotulados con textos recortados en vinilo blanco para exterior, 2900x400x70 mm., color azul sanitario RAL 5024 con letras blancas",,,1,"629,25€","0,00%","629,25€","629,25€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Señalización interior de Área pequeña,"Señalización interior de Área pequeña, 300x200 mm., ""IMAGIOLOGÍA"", placa de metacrilato transparente de 8 mm., embellecedores metálicos cromados, color blanco con letras gris oscuro",,,1,"30,53€","0,00%","30,53€","30,53€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Papel para lama con frente curvo,"Papel para cartel interno, 300x100 mm.,"" AMOSTRAS""",,,1,"2,00€","0,00%","2,00€","2,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""SECRETARIA"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Mostrador de trabajo,Modus Mos Kit 1200 Mesa MARFIL-BLC,OFIPRIX,22558052,1,"259,00€","30,00%","181,30€","181,30€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Mostrador de trabajo,Modus Mos Lateral Inicial-Final MARFIL,OFIPRIX,22558048,2,"45,00€","30,00%","31,50€","63,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,"Silla rodable, giratoria, polipiel LAVENDEL, elevación a gas, respaldo bajo, con brazos","Silla de despacho, elevación a gas, con brazos de poliuretano integral, polipiel LAVENDEL",INMOCLINC,21120,1,"85,74€","2,00%","84,03€","84,03€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Silla pintada apilable polipiel LAVENDEL,"Silla de despacho, altura fija, SIN brazos, polipiel LAVENDEL, apilable",INMOCLINC,21125,2,"42,55€","2,00%","41,70€","83,40€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,"TV 32""","32"" TV con pantalla de cristal líquido-pantalla ancha-1080p (FullHD)",LG,I 32LK456C,1,"325,45€","0,00%","325,45€","325,45€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,"Soporte de pared TV desde 32"" hasta 50""",Vogel's superflat soporte monitor L EFW 8305,VOGEL,I 8383050,1,"52,00€","0,00%","52,00€","52,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,1,"18,38€","2,00%","18,01€","18,01€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Papelera chapa acero pintado,"Papelera con asa, aro inferior en ABS color NEGRO",INMOCLINC,17100,1,"11,31€","2,00%","11,08€","11,08€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Single unit (MT) packaging,Single unit (MT) packaging,HP,I XL521AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Power supply MT,89% Power supply MT,HP,I BX379AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Windows 7 professional,Windows 7 porfessional 32-bit portugués,HP,I XL688AV#AB9,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,CPU,Intel Core i3-2100 CPU,HP,I BW852AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,RAM,2GB DDR3-1333 (1*2GB) RAM,HP,I BV062AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,HARD DRIVE,250GB 7200RPM SATA-6G 1ST HARD DRIVE,HP,I BV005AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Keyboard,USB Standard JB Keyboard portugués,HP,I BV396AV#AB9,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,MOUSE,Mouse BTO/Optical BLK,HP,I VL506AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Supermulti,Supermulti (JB) 1ST,HP,I BV044AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Warranty,3/3/3 MT Warranty,HP,I XT539AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Windows 7 32,Windows 7 32 bit factory imag,HP,I XL719AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Windows 7 64,Windows 7 64 bit factory image recovery,HP,I XL720AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Compaq 8200 elite country,Compaq 8200 elite country kit portugal,HP,I XJ308AV#AB9,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,CPU Label,i3 2nd Gen CPU Label,HP,I BW870AV,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Delivery Service door/dock DT,Delivery Service door/dock DT,HP,I ZD011A,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,MONITOR,Compaq LA1951G LCD MONITOR,HP,I EM890AA,1,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Ordenador personal,Base model HP8200 YT,HP,I BX383AV,1,"583,35€","0,00%","583,35€","583,35€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Electronic HP Care Pack Next Day Exchange Hardware Support - Ampliación de la garantía - repuesto - 2 años,Electronic HP Care Pack Next Day Exchange Hardware Support - Ampliación de la garantía - repuesto - 2 años,HP,I UX452E,1,"82,85€","0,00%","82,85€","82,85€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Impresora multifuncional láser color,HP color laserjet pro CM1415FN-multifunción (fax/copiadora/impresora/escáner)-color-lase,HP,I CE861A,1,"257,35€","0,00%","257,35€","257,35€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,4,"0,00€","30,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Armario archivador fichas BLANCO grande,K2 armario 198x120 BLANCO,OFIPRIX,2100220,2,"295,00€","30,00%","206,50€","413,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Estanterías armario archivador fichas BLANCO,K2 estante 120 BLANCO,OFIPRIX,209920,8,"20,00€","30,00%","14,00€","112,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Carpeta portahistorias clínicas,"Carpeta (hamaca) de cartón, portahistorias clínicas",INMOCLINC,10220C,30,"3,73€","2,00%","3,66€","109,66€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE ESPERA,Carro portahistorias,"Carro porta historias clínicas y radiografías, acero pintado, empujador lateral, tapa con cerradura",INMOCLINC,10220,1,"176,20€","2,00%","172,68€","172,68€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,CABINA / VESTUARIO,Lama con frente curvo,"Cartel interno, 300x100 mm., ""VESTUÁRIO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,CABINA / VESTUARIO,Lama con frente curvo,"Cartel interno, 300x100 mm., ""VESTUÁRIO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,CABINA / VESTUARIO,Lama con frente curvo,"Cartel interno, 300x100 mm., ""VESTUÁRIO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,CABINA / VESTUARIO,Armario taquilla vestuario,Taquilla DUPLOX 6 ptas. baj. ANTR/ALUM.,OFIPRIX,22002216,6,"479,00€","30,00%","335,30€","2.011,80€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,CABINA / VESTUARIO,Silla pintada apilable polipiel LAVENDEL,"Silla de despacho, altura fija, SIN brazos, polipiel LAVENDEL, apilable",INMOCLINC,21125,6,"42,55€","2,00%","41,70€","250,19€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,CABINA / VESTUARIO,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,6,"18,38€","2,00%","18,01€","108,07€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,CABINA / VESTUARIO,Biombo 2 cuerpos,"Biombo clínico para separación de enfermos, acero cromado, 2 cuerpos con ruedas",INMOCLINC,7003,2,"65,95€","2,00%","64,63€","129,26€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,CABINA / VESTUARIO,Banco vestuario,Banco 2000 asiento madera 19980000A5002,OFIPRIX,22089126,6,"269,00€","30,00%","188,30€","1.129,80€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Papel para lama con frente curvo,"Papel para cartel interno, 300x100 mm.,"" SALAS DE RADIOLOGÍA""",,,1,"2,00€","0,00%","2,00€","2,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""SALA DE RADIOLOGÍA"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Equipo Telecomandado de fluororadiología,"Equipo Telecomandado de fluororadiología Luminos RF Classic BV 23, PL F55",SIEMENS,14411183,1,"135.321,00€","0,12%","135.160,24€","135.160,24€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Equipo de radiográfico,Equipo de radiográfico general de suelo con estativo de pared,SIEMENS,14411118,1,"52.304,00€","0,78%","51.895,14€","51.895,14€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Equipo de RX rodante,Equipo de RX rodante Polymóbil Plus,SIEMENS,4495060,1,"24.653,00€","16,86%","20.495,86€","20.495,86€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Contenedor residuos grande,"Cubo papelera de PVC, capacidad 50 litros",INMOCLINC,11203,1,"23,94€","2,00%","23,46€","23,46€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,"Taburete giratorio bajo 5 ruedas, elevación husillo, acero inox., peana PVC, polipiel LAVENDEL","Taburete bajo para consulta médica, polipiel LAVENDEL, regulable en altura por husillo, acero inox., peana de PVC con 5 ruedas",INMOCLINC,23131,2,"39,28€","2,00%","38,49€","76,99€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Escalera 2 peldaños acero inox.,"Banquillo acceso pacientes, 2 tramos, acero inox., superficie de apoyo antideslizante",INMOCLINC,5013,1,"77,12€","2,00%","75,58€","75,58€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Biombo 3 cuerpos,"Biombo clínico para separación de enfermos, acero cromado, 3 cuerpos con ruedas",INMOCLINC,7012,1,"89,86€","2,00%","88,06€","88,06€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,3,"18,38€","2,00%","18,01€","54,04€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Papelera chapa acero pintado,"Papelera con asa, aro inferior en ABS color NEGRO",INMOCLINC,17100,1,"11,31€","2,00%","11,08€","11,08€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Tabla de masaje cardíaco,Tabla de masaje cardíaco,INMOCLINC,10182/11,1,"63,53€","2,00%","62,26€","62,26€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Portasueros regulable,"Portasueros regulable en altura, acero inox., 2 ganchos",INMOCLINC,10182/6,1,"45,98€","2,00%","45,06€","45,06€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Soporte botella de oxígeno,Soporte botella de oxígeno,INMOCLINC,10182/10,1,"51,55€","2,00%","50,52€","50,52€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Carro paradas LAVENDEL,"Carro de curas, urgencias y parada cardíaca, acero inox. LAVENDEL, 3 cajones inferiores, entrepaño, 62x48x96 cm.",INMOCLINC,10540,1,"579,03€","2,00%","567,45€","567,45€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Resucitador manual,"Juego de 2 resucitadores manuales Revivator Plus, adultos y niños",HERSILL,5200601 y 5200611,1,"130,00€","0,00%","130,00€","130,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Aspirador de alto vacío,"Aspirador de alto vacío Vacusill 2 HV PC2 con frasco recolector 1,700 ml.",HERSILL,5351207,2,"112,45€","0,00%","112,45€","224,90€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Sigmoideoscopio-anuscopio,Set maletín completo Sigmoideoscopio-anuscopio,WELCH ALLYN,7280088,1,"1.968,33€","0,00%","1.968,33€","1.968,33€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Tabla de transferencias plegable,Tabla de transferencias Rollbord Standard plegable 180x50,SAMARIT,16000015,1,"563,60€","0,00%","563,60€","563,60€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA RADIOLÓGICA,Caudalímetro Oxyll de Oxígeno,"Caudalímetro de 0-15 l/min, conexión a red DIN y conector para tubo mascarilla",HERSILL,5540006+0520101,2,"35,55€","0,00%","35,55€","71,10€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,"Silla rodable, giratoria, polipiel LAVENDEL, elevación a gas, respaldo bajo, con brazos","Silla de despacho, elevación a gas, con brazos de poliuretano integral, polipiel LAVENDEL",INMOCLINC,21120,3,"85,74€","2,00%","84,03€","252,08€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Negatoscopio mural 3 pantallas,"Negatoscopio mural, acero pintado, 3 pantallas",INMOCLINC,16106,3,"109,98€","2,00%","107,78€","323,34€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Negatoscopio mural 4 pantallas,"Negatoscopio mural, acero pintado, CON regulador, 4 pantallas",INMOCLINC,16409,3,"231,03€","2,00%","226,41€","679,23€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Estantería de 4 niveles acero inox.,"Estantería, 4 baldas fijas, acero inox., patas con niveladores. Medidas: 100x40x180 cm.",INMOCLINC,26000,3,"380,36€","2,00%","372,75€","1.118,26€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Fuente alimentación intercomunicador,Fuente de alimentación de superficie NX0020,EIS,I 90004,3,"21,91€","0,00%","21,91€","65,72€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Intercomunicador,Terminal de habitación de superficie con RFID NX0010,EIS,I 90001,3,"281,38€","0,00%","281,38€","844,13€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Single unit (MT) packaging,Single unit (MT) packaging,HP,I XL521AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Power supply MT,89% Power supply MT,HP,I BX379AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Windows 7 professional,Windows 7 porfessional 32-bit portugués,HP,I XL688AV#AB9,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,CPU,Intel Core i3-2100 CPU,HP,I BW852AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,RAM,2GB DDR3-1333 (1*2GB) RAM,HP,I BV062AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,HARD DRIVE,250GB 7200RPM SATA-6G 1ST HARD DRIVE,HP,I BV005AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Keyboard,USB Standard JB Keyboard portugués,HP,I BV396AV#AB9,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,MOUSE,Mouse BTO/Optical BLK,HP,I VL506AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Supermulti,Supermulti (JB) 1ST,HP,I BV044AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Warranty,3/3/3 MT Warranty,HP,I XT539AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE IMAGIOLOGÍA,SALA DE CONTROL,Windows 7 32,Windows 7 32 bit factory imag,HP,I XL719AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
