"PRODUCTO"|"DESCRIPCION"|NA|"BLOQUE"|"AREA"|"ZONA"|"REVISION"|"ACCION"|"OBSERVACION"|"PROVEEDOR"|"REFERENCIA"|"UNIDADES"
"2856"|"Monitor constantes vitales base rodable"|NA|"D"|"DE INTERNAMIENTO GENERAL"|"INTERNAMIENTO ENFERMEDADES INFECCIOSAS"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"2 "
"2885"|"Monitor constantes vitales base rodable"|NA|"D"|"DE INTERNAMIENTO GENERAL"|"INTERNAMIENTO GENERAL"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"1 "
"3904"|"Monitor constantes vitales base rodable"|NA|"E"|"HEMOTERAPIA"|"SALA DE DONANTES Y EXTRACCIONES"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"2 "
"5081"|"Monitor constantes vitales base rodable"|NA|"G"|"INTERNAMIENTO"|"ALMACÉN"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"5 "
"2166"|"Monitor de signos vitales (c/carro)"|"Monitor de signos vitales (c/carro)"|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA POSTANESTESIA"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"DRÄGER MEDICAL"|"VISTA XL"|"2 "
"4970"|"Monitor de signos vitales (c/carro)"|"Monitor de signos vitales (c/carro)"|"G"|"URGENCIAS PEDIÁTRICAS"|"BOXES DE URGENCIAS PEDIÁTRICAS"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"DRÄGER MEDICAL"|"VISTA XL"|"1 "
"5034"|"Monitor de signos vitales (c/carro)"|"Monitor de signos vitales (c/carro)"|"G"|"INTERNAMIENTO"|"INTERNAMIENTO PEDIÁTRICO"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"DRÄGER MEDICAL"|"VISTA XL"|"1 "
"863"|"Respirador standard"|NA|"A"|"DE URGENCIAS"|"BOXES TRAUMA Y VITALES"|"Semestral"|"Revision de filtros, piston, rotrametros, baterias"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"08170011"|"1 "
"4962"|"Respirador standard"|NA|"G"|"URGENCIAS PEDIÁTRICAS"|"BOXES DE URGENCIAS PEDIÁTRICAS"|"Semestral"|"Revision de filtros, piston, rotrametros, baterias"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"08170011"|"1 "
"1970"|"Compresor de aire incorporado"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"ESTERILIZACIÓN A VAPOR"|"Semestral"|"Purga de aire, chequeo de tubos de aire"|"Si es accesible, cuerpo integrad o en el SC501"|"ANTONIO MATACHANA, S.A."|"81900.8"|"1 "
"4416"|"Compresor de aire incorporado"|NA|"F"|"CENTRAL DE ESTERILIZACIÓN LAVANDERÍA"|"ESTERILIZADORES A VAPOR"|"Semestral"|"Purga de aire, chequeo de tubos de aire"|"Si es accesible, cuerpo integrad o en el SC501"|"ANTONIO MATACHANA, S.A."|"81900.8"|"1 "
"5515"|"Compresor de aire incorporado"|NA|"AUXILIAR 2"|"CENTRAL DE RESIDUOS SANITARIOS"|"DE TRATAMIENTO"|"Semestral"|"Purga de aire, chequeo de tubos de aire"|"Si es accesible, cuerpo integrad o en el SC501"|"ANTONIO MATACHANA, S.A."|"81900.8"|"1 "
"1972"|"Descalcificador de agua de 30 L."|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"ESTERILIZACIÓN A VAPOR"|"Semestral"|"Revision de sales, filtro y circuito"|"Hay un mantenimiento diari omarcado por la casa"|"ANTONIO MATACHANA, S.A."|"98068.3"|"1 "
"4423"|"Descalcificador de agua de 30 L."|NA|"F"|"CENTRAL DE ESTERILIZACIÓN LAVANDERÍA"|"ESTERILIZADORES A VAPOR"|"Semestral"|"Revision de sales, filtro y circuito"|"Hay un mantenimiento diari omarcado por la casa"|"ANTONIO MATACHANA, S.A."|"98068.3"|"1 "
"5517"|"Descalcificador de agua de 30 L."|NA|"AUXILIAR 2"|"CENTRAL DE RESIDUOS SANITARIOS"|"DE TRATAMIENTO"|"Semestral"|"Revision de sales, filtro y circuito"|"Hay un mantenimiento diari omarcado por la casa"|"ANTONIO MATACHANA, S.A."|"98068.3"|"1 "
"1987"|"Esterilizador a baja temperatura"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SUBCENTRAL DE ESTERILIZACIÓN"|"Anual"|"Limpieza interior tanque y flitros"|""|"ANTONIO MATACHANA, S.A."|"78026+78504.3"|"1 "
"1986"|"Esterilizador a vapor de sobremesa"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SUBCENTRAL DE ESTERILIZACIÓN"|"Semestral"|"Limpieza interior tanque, y de tanque de agua y flitros internos y externos"|""|"ANTONIO MATACHANA, S.A."|"78795"|"1 "
"5497"|"Esterilizador a vapor de sobremesa"|NA|"AUXILIAR 1"|"MORGUE"|"SALA DE AUTOPSIAS"|"Semestral"|"Limpieza interior tanque, y de tanque de agua y flitros internos y externos"|""|"ANTONIO MATACHANA, S.A."|"78795"|"1 "
"1968"|"Esterilizador a vapor, 1 puerta"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"ESTERILIZACIÓN A VAPOR"|"Bimensual"|"Fliltro de desagüe, aire limpio, Junta de puerta"|""|"ANTONIO MATACHANA, S.A."|"78066.2"|"1 "
"1951"|"Lavadora desinfectadora"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"DE LAVADO MATERIAL Y DESINFECCIÓN INSTRUMENTAL (PREPARACIÓN PARA ESTERILIZACIÓN)"|"Semestral"|"Limpieza de filtros, test de control interno"|""|"ANTONIO MATACHANA, S.A."|"94673"|"1 "
"1950"|"Pistola limpieza a presión"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"DE LAVADO MATERIAL Y DESINFECCIÓN INSTRUMENTAL (PREPARACIÓN PARA ESTERILIZACIÓN)"|"Anual"|"Revision de tubo rizado, y percutor"|""|"ANTONIO MATACHANA, S.A."|"81180"|"1 "
"4408"|"Aparato de corte"|NA|"F"|"CENTRAL DE ESTERILIZACIÓN LAVANDERÍA"|"DE PREPARACIÓN Y EMPAQUETADO"|"Anual"|"Revision de Cuchillas"|""|"ANTONIO MATACHANA, S.A."|"95357.5"|"1 "
"19701"|"Compresor de aire incorporado"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"ESTERILIZACIÓN A VAPOR"|"Semestral"|"Purga de aire, chequeo de tubos de aire"|"Si es accesible. Cuerpo integrado en el SC501"|"ANTONIO MATACHANA, S.A."|"81900.8"|"1 "
"44161"|"Compresor de aire incorporado"|NA|"F"|"CENTRAL DE ESTERILIZACIÓN LAVANDERÍA"|"ESTERILIZADORES A VAPOR"|"Semestral"|"Purga de aire, chequeo de tubos de aire"|"Si es accesible. Cuerpo integrado en el SC501"|"ANTONIO MATACHANA, S.A."|"81900.8"|"1 "
"55151"|"Compresor de aire incorporado"|NA|"AUXILIAR 2"|"CENTRAL DE RESIDUOS SANITARIOS"|"DE TRATAMIENTO"|"Semestral"|"Purga de aire, chequeo de tubos de aire"|"Si es accesible. Cuerpo integrado en el SC501"|"ANTONIO MATACHANA, S.A."|"81900.8"|"1 "
"19721"|"Descalcificador de agua de 30 L."|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"ESTERILIZACIÓN A VAPOR"|"Semestral"|"Revision de sales, filtro y circuito"|"Hay un mantenimiento diari omarcado por la casa"|"ANTONIO MATACHANA, S.A."|"98068.3"|"1 "
"44231"|"Descalcificador de agua de 30 L."|NA|"F"|"CENTRAL DE ESTERILIZACIÓN LAVANDERÍA"|"ESTERILIZADORES A VAPOR"|"Semestral"|"Revision de sales, filtro y circuito"|"Hay un mantenimiento diari omarcado por la casa"|"ANTONIO MATACHANA, S.A."|"98068.3"|"1 "
"55171"|"Descalcificador de agua de 30 L."|NA|"AUXILIAR 2"|"CENTRAL DE RESIDUOS SANITARIOS"|"DE TRATAMIENTO"|"Semestral"|"Revision de sales, filtro y circuito"|"Hay un mantenimiento diari omarcado por la casa"|"ANTONIO MATACHANA, S.A."|"98068.3"|"1 "
"4415"|"Esterilizador a vapor, 2 puertas"|NA|"F"|"CENTRAL DE ESTERILIZACIÓN LAVANDERÍA"|"ESTERILIZADORES A VAPOR"|"Bimensual"|"Fliltro de desagüe, aire limpio, Junta de puerta"|""|"ANTONIO MATACHANA, S.A."|"78068.2"|"1 "
"1964"|"Soldadora de bolsas"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"DE PREPARACIÓN Y EMPAQUETADO"|"Anual"|"Revision de mufla teflon aislante, motor de arrastre"|""|"ANTONIO MATACHANA, S.A."|"95352"|"1 "
"4404"|"Soldadora de bolsas"|NA|"F"|"CENTRAL DE ESTERILIZACIÓN LAVANDERÍA"|"DE PREPARACIÓN Y EMPAQUETADO"|"Anual"|"Revision de mufla teflon aislante, motor de arrastre"|""|"ANTONIO MATACHANA, S.A."|"95352"|"1 "
"659"|"Agitador basculante de tubos"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Semestral"|"comprobacion de motor"|""|"GRUPO SELECTA"|"7000913"|"2 "
"3065"|"Agitador basculante de tubos"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Semestral"|"comprobacion de motor"|""|"GRUPO SELECTA"|"7000913"|"2 "
"3737"|"Agitador basculante de tubos"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Semestral"|"comprobacion de motor"|""|"GRUPO SELECTA"|"7000913"|"2 "
"5271"|"Agitador basculante de tubos"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Semestral"|"comprobacion de motor"|""|"GRUPO SELECTA"|"7000913"|"2 "
"3074"|"Agitador de placas"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Anual"|"comprobacion de motor"|""|"GRUPO SELECTA"|"5054443"|"1 "
"3069"|"Agitador magnético con calefacción"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Anual"|"comprobacion de motor"|""|"GRUPO SELECTA"|"7000243"|"1 "
"3072"|"Agitador magnético múltiple"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Anual"|"comprobacion de motor"|""|"GRUPO SELECTA"|"7000953"|"1 "
"656"|"Agitador monotubo"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Anual"|"comprobacion de motor"|""|"GRUPO SELECTA"|"7001721"|"2 "
"3066"|"Agitador monotubo"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Anual"|"comprobacion de motor"|""|"GRUPO SELECTA"|"7001721"|"2 "
"3734"|"Agitador monotubo"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Anual"|"comprobacion de motor"|""|"GRUPO SELECTA"|"7001721"|"2 "
"5268"|"Agitador monotubo"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Anual"|"comprobacion de motor"|""|"GRUPO SELECTA"|"7001721"|"2 "
"3277"|"Analizador automático"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|""|""|""|"SUMALSA."|"93105"|"1 "
"687"|"Analizador bioquímico de tiras reactivas"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Mensual"|"Realizacion de TEST"|""|"SUMALSA."|"REFLOTRON"|"1 "
"660"|"Analizador de electrolitos"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Diario"|"Autochequeo"|""|"SUMALSA."|"COBAS 9180"|"1 "
"3286"|"Analizador de gases y electrolitos"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|"Diario"|"Autochequeo"|""|"SUMALSA."|"COBAS B 123"|"1 "
"3016"|"Analizador de serológico de inmunoanálisis"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Diario"|"Autochequeo"|""|"BIOMÉRIEUX"|"410416"|"1 "
"3738"|"Analizador de serológico de inmunoanálisis"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Diario"|"Autochequeo"|""|"REPUESTOS BIOMÉRIEUX"|"410416"|"1 "
"665"|"Analizador hematológico automático"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Diario"|"Autochequeo"|""|"REPUESTOS SUMALSA."|"XP300"|"1 "
"3434"|"Analizador hematológico automático"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Diario"|"Autochequeo"|""|"SUMALSA."|"XP300"|"1 "
"3634"|"Analizador hematológico automático"|NA|"E"|"HEMOTERAPIA"|"BANCO DE SANGRE"|"Diario"|"Autochequeo"|""|"SUMALSA"|"XP300"|"1 "
"3661"|"Arcón congelador"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Mesual"|"Control de temperatura"|""|"GRUPO SELECTA"|"2101040"|"1 "
"2990"|"Autoclave para esterilización 50 L"|NA|"E"|"LABORATORIOS"|"ESTERILIZACIÓN"|"Semestral"|"Limpieza de depositos e interior de cuba"|"Diariamente el TEST B&D"|"GRUPO SELECTA"|"4001725"|"1 "
"3001"|"Autoclave para esterilización 80 L"|NA|"E"|"LABORATORIOS"|"ESTERILIZACIÓN"|"Semestral"|"Limpieza de depositos e interior de cuba"|"Diariamente el TEST B&D"|"GRUPO SELECTA"|"4002136"|"1 "
"6411"|"Baño María"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3473100"|"1 "
"30351"|"Baño María"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3473100"|"1 "
"33651"|"Baño María"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3473100"|"2 "
"34231"|"Baño María"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3473100"|"1 "
"36871"|"Baño María"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3473100"|"1 "
"52531"|"Baño María"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3473100"|"1 "
"1981"|"Baño por ultrasonidos-H 9L"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SUBCENTRAL DE ESTERILIZACIÓN"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3000840"|"1 "
"2969"|"Baño por ultrasonidos-H 9L"|NA|"E"|"LABORATORIOS"|"ESTERILIZACIÓN"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3000840"|"1 "
"705"|"Baño por ultrasonidos-P 10L"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3000910"|"1 "
"3125"|"Baño por ultrasonidos-P 10L"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3000910"|"1 "
"3311"|"Baño por ultrasonidos-P 10L"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3000910"|"1 "
"3503"|"Baño por ultrasonidos-P 10L"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3000910"|"1 "
"3758"|"Baño por ultrasonidos-P 10L"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3000910"|"1 "
"5284"|"Baño por ultrasonidos-P 10L"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Semestral"|"Limpieza de deposito"|""|"GRUPO SELECTA"|"3000910"|"2 "
"6211"|"Centrífuga de mesa con cabezales y adaptadores intercambiables"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002555"|"1 "
"33961"|"Centrífuga de mesa con cabezales y adaptadores intercambiables"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002555"|"1 "
"52331"|"Centrífuga de mesa con cabezales y adaptadores intercambiables"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002555"|"2 "
"3411"|"Centrífuga de mesa para ensayos hematocríto"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002357"|"2 "
"3667"|"Centrífuga de mesa para ensayos hematocríto"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002357"|"2 "
"6301"|"Centrífuga de tubos"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002356"|"1 "
"30891"|"Centrífuga de tubos"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002356"|"1 "
"32971"|"Centrífuga de tubos"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002356"|"2 "
"34051"|"Centrífuga de tubos"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002356"|"1 "
"36761"|"Centrífuga de tubos"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002356"|"1 "
"52421"|"Centrífuga de tubos"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Anual"|"Revision de segurodades e inbalance, eje (engrase), puerta"|""|"GRUPO SELECTA"|"7002356"|"2 "
"3019"|"Contador de colonias digital"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Mensual"|"Revision de lamapara, limpieza de lupa"|""|"GRUPO SELECTA"|"4905000"|"2 "
"649"|"Contador de fórmulas sanguíneas"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Mensual"|"Autochequeo"|""|"GRUPO SELECTA"|"7121431"|"1 "
"3062"|"Contador de fórmulas sanguíneas"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Mensual"|"Autochequeo"|""|"GRUPO SELECTA"|"7121431"|"1 "
"3727"|"Contador de fórmulas sanguíneas"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Mensual"|"Autochequeo"|""|"GRUPO SELECTA"|"7121431"|"1 "
"5267"|"Contador de fórmulas sanguíneas"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Mensual"|"Autochequeo"|""|"GRUPO SELECTA"|"7121431"|"1 "
"3359"|"Descalcificador C-3"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|"Semestral"|"Revision de sales, filtro, y control"|""|"GRUPO SELECTA"|"703052"|"1 "
"3276"|"Espectrofotómetro"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|"Mensual"|"Autochequeo"|""|"GRUPO SELECTA"|"4120010"|"1 "
"3081"|"Esterilizador de asas por infrarrojos"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Anual"|"Control de la mapra de infrarrojos"|""|"GRUPO SELECTA"|"3000788"|"2 "
"6161"|"Esterilizador Poupinel"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Semestral"|"Limpieza de cubeta, y puerta"|"Control de Temperatura Mensual"|"GRUPO SELECTA"|"2000911"|"1 "
"52281"|"Esterilizador Poupinel"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Semestral"|"Limpieza de cubeta, y puerta"|"Control de Temperatura Mensual"|"GRUPO SELECTA"|"2000911"|"1 "
"3037"|"Estufa de bacteriología 36L"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2000206"|"1 "
"3039"|"Estufa de bacteriología 52L"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2001615"|"1 "
"2973"|"Estufa de secado de vidrio 126L"|NA|"E"|"LABORATORIOS"|"ESTERILIZACIÓN"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2000381"|"1 "
"3374"|"Estufa de secado de vidrio 126L"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2000381"|"2 "
"6311"|"Estufa de secado y esterilización 36L"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2000209"|"1 "
"52431"|"Estufa de secado y esterilización 36L"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2000209"|"1 "
"6351"|"Estufa de secado y esterilización 52L"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2000200"|"1 "
"29781"|"Estufa de secado y esterilización 52L"|NA|"E"|"LABORATORIOS"|"ESTERILIZACIÓN"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2000200"|"1 "
"31301"|"Estufa de secado y esterilización 52L"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2000200"|"1 "
"36811"|"Estufa de secado y esterilización 52L"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2000200"|"1 "
"52471"|"Estufa de secado y esterilización 52L"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"2000200"|"2 "
"7911"|"Frigorífico clínico"|NA|"A"|"DE URGENCIAS"|"FARMACIA"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"-2101275"|"1 "
"19271"|"Frigorífico clínico"|NA|"B"|"QUIRÚRGICA"|"SALA DE ANESTESIA"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"-2101275"|"1 "
"31001"|"Frigorífico clínico"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"-2101275"|"1 "
"34811"|"Frigorífico clínico"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"-2101275"|"1 "
"39521"|"Frigorífico clínico"|NA|"E"|"FARMACIA"|"PREPARACIÓN DE FÁRMACOS"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"-2101275"|"2 "
"52121"|"Frigorífico clínico"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"VACUNAS Y NUTRICIÓN"|"Mensual"|"Revision y Limpiza de Puerta y control de temperatura"|""|"GRUPO SELECTA"|"-2101275"|"1 "
"3047"|"Incubadora de CO2"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Mensual"|"Revision y control de temperatura"|""|"GRUPO SELECTA"|"4002628"|"1"
"3050"|"Lavador microplacas"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Semestral"|"Revision de conducstos de limpieza"|""|"GRUPO SELECTA"|"5110000"|"1 "
"2964"|"Lavadora termodesinfectadora"|NA|"E"|"LABORATORIOS"|"ESTERILIZACIÓN"|"Semestral"|"Limpieza de filtros"|""|"GRUPO SELECTA"|"5803002"|"1 "
"3438"|"Lavavajillas doméstico"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Semestral"|"Limpieza de filtros"|""|"SUMALSA"|"3VS303BA"|"1 "
"3760"|"Lavavajillas doméstico"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Semestral"|"Limpieza de filtros"|""|"SUMALSA"|"3VS303BA"|"1 "
"34381"|"Lavavajillas doméstico"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Semestral"|"Limpieza de filtros"|""|"SUMALSA"|"3VS303BA"|"1 "
"37601"|"Lavavajillas doméstico"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Semestral"|"Limpieza de filtros"|""|"SUMALSA"|"3VS303BA"|"1 "
"3385"|"Lavavajillas industrial"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|"Semestral"|"Limpieza de filtros"|""|"SUMALSA"|"RB-200"|"1 "
"7471"|"Lavavajillas sobremesa 6 servicios"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Semestral"|"Limpieza de filtros"|""|"5º envío SUMALSA"|"3VK300BC"|"1 "
"52881"|"Lavavajillas sobremesa 6 servicios"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Semestral"|"Limpieza de filtros"|""|"5º envío SUMALSA"|"3VK300BC"|"1 "
"3052"|"Lector de microplacas"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Mensual"|"Autochequeo"|""|"GRUPO SELECTA"|"5109999"|"1 "
