BLOQUES,AREAS,ZONA,PRODUCTO,DESCRIPCIÓN,PROVEEDOR,REF./MODELO,UNDS.
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Aerosol nebulizador,Aerosol nebulizador profesional mod.Hospyneb,IBOR MÉDICA,02090001,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Pulsioxímetro,Pulsioxímetro Nonin 9500 ONYX de dedo,IBOR MÉDICA,01070047,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Bomba de insulina,Bomba administración insulina ambulatoria,5º envío IBOR MÉDICA,01180017,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Kit fungible de insulina,Kit fungible 30 días administración de insulina,5º envío IBOR MÉDICA,12090068,2 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Bomba de infusión,Bomba de infusión IP7700,IBOR MÉDICA,01180012,2 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Ambu,Ambu (Ad/Ped),DRÄGER MEDICAL,MR100 (Ad/Ped),1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Equipo de diagnóstico de pared,Equipo de diagnóstico de pared Welch Allyn completo,IBOR MÉDICA,02070079,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Laringoscopio LED,Laringoscopio LED Truphatek Delfín 3 palas,IBOR MÉDICA,02060098,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Laringoscopio LED,Laringoscopio LED Truphatek Delfín 3 palas,IBOR MÉDICA,02060098,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Monitor de signos vitales (c/brazo),Monitor de signos vitales (c/brazo),DRÄGER MEDICAL,VISTA XL,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Kit entrenamiento desfibrilador,Kit entrenamiento (DCF-302T.DTR-400),5º envío IZASA HOSPITAL,913DCF-E303T,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Bolsa transporte desfibrilador,Bolsa de transporte desfibrilador,5º envío IZASA HOSPITAL,913DAC-100,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Armario desfibrilador,AIVIA 100 V2 SIRENA,5º envío IZASA HOSPITAL,913X2A100-XX100,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Pads electrodos adultos desfibrilador,Pads electrodos adultos desfibrilador Lifeline,5º envío IZASA HOSPITAL,913DDP-100,10 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Pads electrodos pediátricos desfibriador,Pads electrodos pediátricos desfibrilador Lifeline,5º envío IZASA HOSPITAL,913DDP-200P,10 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Pack de rescate desfibrilador,Pack de rescate desfibrilador,5º envío IZASA HOSPITAL,913DAC-420,2 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Desfibrilador AED,Desfibrilador AED Hi-capacity Battery package (BR),5º envío IZASA HOSPITAL,913DFC-E110-BR,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Pila litio desfibrilador,Pila de litio 9V,5º envío IZASA HOSPITAL,913LV9V,2 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Batería de alto rendimiento (DBP-2800) desfibrilador,Batería de alto rendimiento (DBP-2800),5º envío IZASA HOSPITAL,913DCF-E210,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Desfibrilador con monitor,Desfibrilador D3 Mindray,IBOR MÉDICA,01030154,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Tabla de masaje cardíaco,Tabla de masaje cardíaco,INMOCLINC,10182/11,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Portasueros regulable,"Portasueros regulable en altura, acero inox., 2 ganchos",INMOCLINC,10182/6,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Soporte botella de oxígeno,Soporte botella de oxígeno,INMOCLINC,10182/10,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Carro paradas JADE,"Carro de curas, urgencias y parada cardíaca, acero inox. JADE, 3 cajones inferiores, entrepaño, 62x48x96 cm.",INMOCLINC,10540,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Set de enfermería,,pte. PEDIR Y PAGAR 5º envío ECOFAR,,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,"Carro de curas acero inox., 3 bandejas, cubo de residuos, espacio 2 bombonas","Carro de curas e intervenciones quirúrgicas, acero inox., mod. INS, 3 bandejas, cubo de residuos, soporte para bombonas",INMOCLINC,10146,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Bombonas para carro curas acero inox.,"Bombona para carro de curas, acero inox. Medidas: 20x14 cm.",INMOCLINC,20183,2 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Collarín de inmovilización pequeño,Collarín cervical semiduro nº 1,IBOR MÉDICA,11100008,10 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Collarín de inmovilización mediano,Collarín cervical semiduro nº 2,IBOR MÉDICA,11100009,10 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Collarín de inmovilización grande,Collarín cervical semiduro nº 3,IBOR MÉDICA,11100010,10 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Silla pintada apilable polipiel TURQUISH,"Silla de despacho, altura fija, SIN brazos, polipiel TURQUISH, apilable",INMOCLINC,21125,2 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Negatoscopio mural 2 pantallas,"Negatoscopio mural, acero pintado, 2 pantallas",INMOCLINC,16103,2 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Mesa de despacho en melamina,"Mesa de despacho clínico, en melamina, 1 bloque rodable de 3 cajones con cerradura, GRIS. Medidas:120x80x73 cm.",INMOCLINC,14412,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Carpeta portahistorias clínicas,"Carpeta (hamaca) de cartón, portahistorias clínicas",INMOCLINC,10220C,30 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Carro portahistorias,"Carro porta historias clínicas y radiografías, acero pintado, empujador lateral, tapa con cerradura",INMOCLINC,10220,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Mesa auxiliar,"Mesa para especialidades médicas y pequeñas intervenciones, acero cromado, entrepaño superior e inferior lisos en melamina de PVC",INMOCLINC,14121,1 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,"Taburete giratorio bajo 5 ruedas, elevación husillo, acero inox., peana PVC, polipiel TURQUISH","Taburete bajo para consulta médica, polipiel TURQUISH, regulable en altura por husillo, acero inox., peana de PVC con 5 ruedas",INMOCLINC,23131,2 
A,DE URGENCIAS,BOXES TRAUMA Y VITALES,Lámpara de exámen,"Lámpara de exámen rodable, mod. GS600",6º envío IBOR MÉDICA,05180079,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""CONSULTA"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Mesa de despacho en melamina,"Mesa de despacho clínico, en melamina, 1 bloque rodable de 3 cajones con cerradura, GRIS. Medidas:120x80x73 cm.",INMOCLINC,14412,1 
A,DE URGENCIAS,CONSULTA TRAUMA,"Silla rodable, giratoria, polipiel TURQUISH, elevación a gas, respaldo bajo, con brazos","Silla de despacho, elevación a gas, con brazos de poliuretano integral, polipiel TURQUISH",INMOCLINC,21120,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Silla pintada apilable polipiel TURQUISH,"Silla de despacho, altura fija, SIN brazos, polipiel TURQUISH, apilable",INMOCLINC,21125,2 
A,DE URGENCIAS,CONSULTA TRAUMA,Armario metálico documentos 4 baldas,"Armario metálico de documentos, 4 estantes regulables en altura, puertas con cerradura, GRIS. Medidas: 95x42x200 cm.",INMOCLINC,3000,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Carpeta portahistorias clínicas,"Carpeta (hamaca) de cartón, portahistorias clínicas",INMOCLINC,10220C,30 
A,DE URGENCIAS,CONSULTA TRAUMA,Carro portahistorias,"Carro porta historias clínicas y radiografías, acero pintado, empujador lateral, tapa con cerradura",INMOCLINC,10220,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Contenedor residuos grande,"Cubo papelera de PVC, capacidad 50 litros",INMOCLINC,11203,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,1 
A,DE URGENCIAS,CONSULTA TRAUMA,"Mesa mural clínica 107*60*90, 1 módulo de fregadero clínico 2 puertas","Mesa mural clínica 107*60*90, encimera ESTRATIFICADA POSTFORMADO GRIS, 1 módulo de fregadero clínico 2 puertas 91*50*87, 1 grifo monoblock y 1 fregadero 1 poza redonda 45 diam.",FORMIMETAL,tipo 4 POS 18.01,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Camilla de reconocimiento polipiel TURQUISH,"Mesa para diagnóstico, reconocimiento y exploración, acero cromado, polipiel TURQUISH. Medidas: 180x55x70 cm.",INMOCLINC,14736,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Lámpara de exploración articulada base rodable,"Lámpara para diagnóstico y exploración médica, foco orientable, lámpara de 100V., peana de aluminio",INMOCLINC,20100,1 
A,DE URGENCIAS,CONSULTA TRAUMA,"Taburete giratorio bajo 5 ruedas, elevación husillo, acero inox., peana PVC, polipiel TURQUISH","Taburete bajo para consulta médica, polipiel TURQUISH, regulable en altura por husillo, acero inox., peana de PVC con 5 ruedas",INMOCLINC,23131,1 
A,DE URGENCIAS,CONSULTA TRAUMA,"Carro de curas acero inox., 3 bandejas, cubo de residuos, espacio 2 bombonas","Carro de curas e intervenciones quirúrgicas, acero inox., mod. INS, 3 bandejas, cubo de residuos, soporte para bombonas",INMOCLINC,10146,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Bombonas para carro curas acero inox.,"Bombona para carro de curas, acero inox. Medidas: 20x14 cm.",INMOCLINC,20183,2 
A,DE URGENCIAS,CONSULTA TRAUMA,Esfingomanómetro de pared,Tensiómetro Riester Big Ben Round pared,IBOR MÉDICA,02030025,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Fonendoscopio,Fonendoscopio Littmann Classic II granate,IBOR MÉDICA,02020037,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Linterna de exploración,Linterna de bolsillo Kawe,IBOR MÉDICA,02160010,4 
A,DE URGENCIAS,CONSULTA TRAUMA,Escalera 2 peldaños acero inox.,"Banquillo acceso pacientes, 2 tramos, acero inox., superficie de apoyo antideslizante",INMOCLINC,5013,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Set de enfermería,,pte. PEDIR Y PAGAR 5º envío ECOFAR,,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Caja Instrumental Yesos,Caja Instrumental Yesos,TRAZINS,,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Negatoscopio mural 3 pantallas,"Negatoscopio mural, acero pintado, 3 pantallas",INMOCLINC,16106,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Cubeta baja rodable inox.,"Soporte rodado para quirófano, acero inox., cubo-palangana acero inox., capacidad 8 litros",INMOCLINC,25120,1 
A,DE URGENCIAS,CONSULTA TRAUMA,Cubeta alta rodable inox.,"Soporte rodado para quirófano, acero inox., cubo-palangana acero inox., capacidad 12 litros",INMOCLINC,25123,1 
A,DE URGENCIAS,ALMACÉN DE SUCIO,Papel para lama con frente curvo,"Papel para cartel interno, 300x100 mm.,"" ROUPEIRO""",6º envío FEMONSA,,1 
A,DE URGENCIAS,ALMACÉN DE SUCIO,Lama con frente curvo,"Cartel interno, 300x100 mm., ""SUJO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE URGENCIAS,ALMACÉN DE LIMPIO,Lama con frente curvo,"Cartel interno, 300x100 mm., ""LIMPO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE URGENCIAS,LIMPIEZA PACIENTE,Lama con frente curvo,"Cartel interno, 300x100 mm., ""HIGIENE"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE URGENCIAS,LIMPIEZA PACIENTE,Camilla limpieza paciente,"Carro para lavado de enfermos, acero pintado, regulación en altura mediante sistema hidráulico, plano inclinado, colchoneta hermética con orificio para desagüe, barandillas",INMOCLINC,10300,2 
A,DE URGENCIAS,LIMPIEZA PACIENTE,Estantería de 4 niveles acero inox.,"Estantería, 4 baldas fijas, acero inox., patas con niveladores. Medidas: 100x40x180 cm.",INMOCLINC,26000,2 
A,DE URGENCIAS,LIMPIEZA PACIENTE,Módulo fregadero gran tamaño 100*75*90,Módulo fregadero gran tamaño 100*75*90. Fregadero industrial FI-107/10 REF.1133101 y grifo GDHM2 REF.1316252,FORMIMETAL,VARIO POS 02,1 
A,DE URGENCIAS,LIMPIEZA PACIENTE,Silla pintada apilable polipiel TURQUISH,"Silla de despacho, altura fija, SIN brazos, polipiel TURQUISH, apilable",INMOCLINC,21125,1 
A,DE URGENCIAS,LIMPIEZA PACIENTE,Contenedor residuos grande,"Cubo papelera de PVC, capacidad 50 litros",INMOCLINC,11203,1 
A,DE URGENCIAS,LIMPIEZA PACIENTE,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,1 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""SALA DE UTILIDADES"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Mesa de despacho en melamina,"Mesa de despacho clínico, en melamina, 1 bloque rodable de 3 cajones con cerradura, GRIS. Medidas:120x80x73 cm.",INMOCLINC,14412,1 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Silla pintada apilable polipiel TURQUISH,"Silla de despacho, altura fija, SIN brazos, polipiel TURQUISH, apilable",INMOCLINC,21125,2 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Carpeta portahistorias clínicas,"Carpeta (hamaca) de cartón, portahistorias clínicas",INMOCLINC,10220C,30 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Carro portahistorias,"Carro porta historias clínicas y radiografías, acero pintado, empujador lateral, tapa con cerradura",INMOCLINC,10220,1 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Termómetro digital,Termómetro digital c/alarma,IBOR MÉDICA,02280003,40 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Armario medicación mural,"Armario mural para medicación de enfermos, acero inox., con 40 cajas basculantes transparentes (2 filas de 4 cajas, 4 de 5 y 2 de 6)",INMOCLINC,3031,2 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,1 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Cajas y Bandejas,Kit de cajas y bandejas,TRAZINS,,1 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Caja Urgencias,Caja Urgencias,TRAZINS,,6 
A,DE URGENCIAS,CONTROL ENFERMERÍA,Caja Curas Urgencias,Caja Curas Urgencias,TRAZINS,,6 
A,DE URGENCIAS,SALA DE RADIOLOGÍA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""CONSULTA"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE URGENCIAS,SALA DE RADIOLOGÍA,"Camilla urgencias permeable, rayos X con palo gotero, polipiel TURQUISH","Carro camilla de urgencias y traslado de enfermos, polipiel TURQUISH, acero inox., barandillas abatibles, bandeja inferior, soporte de sueros, soporte botella de oxígen, transparente a Rayos X",INMOCLINC,10050,2 
A,DE URGENCIAS,SALA DE RADIOLOGÍA,Equipo de RX rodante,Equipo  de RX rodante Polymóbil Plus,SIEMENS,4495060,1 
A,DE URGENCIAS,SALA DE RADIOLOGÍA,Sigmoideoscopio-anuscopio,Set maletín completo Sigmoideoscopio-anuscopio,IBOR MÉDICA,07280088,1 
A,DE URGENCIAS,SALA DE RADIOLOGÍA,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,2 
A,DE URGENCIAS,SALA DE RADIOLOGÍA,Contenedor residuos grande,"Cubo papelera de PVC, capacidad 50 litros",INMOCLINC,11203,1 
A,DE URGENCIAS,SALA DE RADIOLOGÍA,"Taburete giratorio bajo 5 ruedas, elevación husillo, acero inox., peana PVC, polipiel TURQUISH","Taburete bajo para consulta médica, polipiel TURQUISH, regulable en altura por husillo, acero inox., peana de PVC con 5 ruedas",INMOCLINC,23131,2 
A,DE URGENCIAS,SALA DE RADIOLOGÍA,Escalera 2 peldaños acero inox.,"Banquillo acceso pacientes, 2 tramos, acero inox., superficie de apoyo antideslizante",INMOCLINC,5013,1 
A,DE URGENCIAS,SALA DE RADIOLOGÍA,Biombo 3 cuerpos,"Biombo clínico para separación de enfermos, acero cromado, 3 cuerpos con ruedas",INMOCLINC,7012,1 
A,DE URGENCIAS,SALA DE RADIOLOGÍA,Silla de ruedas plegable,Silla de ruedas plegable minos cronos rueda 600 44 cm.,IBOR MÉDICA,15000035,1 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Plafón exterior,"Plafón exterior, ""CONSULTAS EXTERNAS"", armado de tubo rectangular, para fijar a pared, rotulados con textos recortados en vinilo blanco para exterior, 2900x400x70 mm., color azul sanitario RAL 5024 con letras blancas",5º envío RÓTULOS ARCEGA,,1 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Lama con frente curvo,"Cartel interno, 300x100 mm., ""TRIAGEM"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Papelera exterior Landmark beige,"Papelera exterior Landmark Series II beige, polietileno, base con amarre, puertas laterales con bisagras, soporte para bolsas estándar extraíble. Capacidad 189,3 l.",RUBBERMAID,FG396458BEIG,1 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Papelera exterior Landmark verde,"Papelera exterior Landmark Series II verde, polietileno, base con amarre, puertas laterales con bisagras, soporte para bolsas estándar extraíble. Capacidad 189,3 l.",RUBBERMAID,FG396458DGRN,1 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Papelera exterior Landmark roja,"Papelera exterior Landmark Series II roja, polietileno, base con amarre, puertas laterales con bisagras, soporte para bolsas estándar extraíble. Capacidad 189,3 l.",RUBBERMAID,FG396458RED,1 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE","Bancada metálica, 3 plazas","Banco estructura de acero con acabado de aluminio, 3 plazas",OFIPRIX,2942003,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Mostrador de admisión curvo,Modus Mos Kit Curva 45 Minus MARFIL-BLC,OFIPRIX,22558059,1
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Mostrador de admisión curvo,Modus Mos Kit Curva 45 Mesa MARFIL-BLC,OFIPRIX,22558058,2
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Mostrador de admisión curvo,Modus Mos Lateral Inicial-Final MARFIL,OFIPRIX,22558048,4
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Mostrador de admisión curvo,MODUS MOSTRADOR KIT CARTELA UNION SOBRES,OFIPRIX,225083,4
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE","Silla rodable, giratoria, tapizada Nº 38, elevación a gas, respaldo alto, con brazos","Silla de despacho, elevación a gas, con brazos de poliuretano integral, respaldo alto, tapizada Nº 38",INMOCLINC,21130,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Papelera chapa acero pintado,"Papelera con asa, aro inferior en ABS color NEGRO",INMOCLINC,17100,2 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Epack 2yr exchange STD F/dedicate cons laserjet MFP-E,Epack 2yr exchange STD F/dedicate cons laserjet MFP-E,INYCOM,I UH760E,1 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Impresora multifuncional láser B/N,Laserjet pro M1217NFW MFP 18PPM ETHERN,INYCOM,I CE844A,1 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Single unit (MT) packaging,Single unit (MT) packaging,INYCOM,I XL521AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Power supply MT,89% Power supply MT,INYCOM,I BX379AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Windows 7 professional,Windows 7 porfessional 32-bit portugués,INYCOM,I XL688AV#AB9,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",CPU,Intel Core i3-2100 CPU,INYCOM,I BW852AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",RAM,2GB DDR3-1333 (1*2GB) RAM,INYCOM,I BV062AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",HARD DRIVE,250GB 7200RPM SATA-6G 1ST HARD DRIVE,INYCOM,I BV005AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Keyboard,USB Standard JB Keyboard portugués,INYCOM,I BV396AV#AB9,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",MOUSE,Mouse BTO/Optical BLK,INYCOM,I VL506AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Supermulti,Supermulti (JB) 1ST,INYCOM,I BV044AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Warranty,3/3/3 MT Warranty,INYCOM,I XT539AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Windows 7 32,Windows 7 32 bit factory imag,INYCOM,I XL719AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Windows 7 64,Windows 7 64 bit factory image recovery,INYCOM,I XL720AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Compaq 8200 elite country,Compaq 8200 elite country kit portugal,INYCOM,I XJ308AV#AB9,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",CPU Label,i3 2nd Gen CPU Label,INYCOM,I BW870AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Delivery Service door/dock DT,Delivery Service door/dock DT,INYCOM,I ZD011A,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",MONITOR,Compaq LA1951G LCD MONITOR,INYCOM,I EM890AA,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Ordenador personal,Base model HP8200 YT,INYCOM,I BX383AV,3 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,4 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Armario archivador fichas BLANCO grande,K2 armario 198x120 BLANCO,OFIPRIX,2100220,2 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Estanterías armario archivador fichas BLANCO,K2 estante 120 BLANCO,OFIPRIX,209920,8
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Carpeta portahistorias clínicas,"Carpeta (hamaca) de cartón, portahistorias clínicas",INMOCLINC,10220C,30 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Carro portahistorias,"Carro porta historias clínicas y radiografías, acero pintado, empujador lateral, tapa con cerradura",INMOCLINC,10220,1 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Mesa auxiliar,"Mesa para especialidades médicas y pequeñas intervenciones, acero cromado, entrepaño superior e inferior lisos en melamina de PVC",INMOCLINC,14121,2 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Termostato para F50 inox,Termostato para F50 inox,repuestos y herramientas TELLSA,,2 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Manguera entrada de agua para F50 inox,Manguera entrada de agua para F50 inox,repuestos y herramientas TELLSA,,2 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Fuente de agua,Fuente de agua fría con llena jarras. Producción 50 litros/hora. Dimensiones 325*340*1.230 mm.,TELLSA,COMERSA F 50 INOX,1 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Guantes vinilo blanco,Caja de 100 guantes de vinilo blanco GD48,5º envío CONFECCIONES RAMOS,GD48,100 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Casaca enfermero T.46,"Casaca hombre T.46, cuello V, manga corta, BLANCA",CONFECCIONES RAMOS,CRCASA000001,20 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Casaca enfermera T.42,"Casaca mujer T.42, cuello V, manga corta, BLANCA",CONFECCIONES RAMOS,CRCASA000001,20 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Pantalón enfermero T.46,"Pantalón caballero T.46, tergal enfermero, con bragueta, BLANCO",CONFECCIONES RAMOS,CRPANT000003,20 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Pantalón enfermera T.42,"Pantalón mujer T.42, tergal enfermera, sin bragueta, BLANCO",CONFECCIONES RAMOS,CRPANT000016,20 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Zuecos T.38,"Par de zuecos abiertos, T.38, BLANCOS",CONFECCIONES RAMOS,1540,10 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Termómetro digital,Termómetro digital c/alarma,IBOR MÉDICA,02280003,40 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE","Taburete giratorio bajo 5 ruedas, elevación husillo, acero inox., peana PVC, polipiel KIRSCHE","Taburete bajo para consulta médica, polipiel KIRSCHE, regulable en altura por husillo, acero inox., peana de PVC con 5 ruedas",INMOCLINC,23131,2 
A,DE CONSULTAS EXTERNAS,"ENTRADA,CONTROL Y TRIAGE",Báscula romana adultos,"Báscula romana con tallímetro adultos, 200 Kg, mod. M318800",6º envío IBOR MÉDICA,05040095,1 
A,DE CONSULTAS EXTERNAS,PERSONAL,Lama con frente curvo,"Cartel interno, 300x100 mm., ""PESSOAL"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE CONSULTAS EXTERNAS,SALA DE ESPERA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""SALA DE ESPERA"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
